ticker,company_name,cik,year,revenue,net_income,assets,liabilities,equity,cash,debt,operating_income,gross_profit,shares_outstanding,data_source,data_quality_flag
MSFT,Microsoft Corp,789019,2017,93580000000.0,12193000000.0,193468000000.0,121471000000.0,80083000000.0,8669000000.0,40600000000.0,18161000000.0,60542000000.0,7702243979.0,sec_company_facts,ok
MSFT,Microsoft Corp,789019,2018,91154000000.0,20539000000.0,250312000000.0,162601000000.0,83090000000.0,5595000000.0,77100000000.0,26078000000.0,58374000000.0,7668217316.0,sec_company_facts,ok
MSFT,Microsoft Corp,789019,2019,96571000000.0,25489000000.0,258848000000.0,176130000000.0,87711000000.0,6510000000.0,76200000000.0,29025000000.0,62310000000.0,7635409400.0,sec_company_facts,ok
MSFT,Microsoft Corp,789019,2020,110360000000.0,16571000000.0,286556000000.0,184226000000.0,82718000000.0,11356000000.0,72178000000.0,35058000000.0,72007000000.0,7567652935.0,sec_company_facts,ok
MSFT,Microsoft Corp,789019,2021,125843000000.0,39240000000.0,301311000000.0,183007000000.0,102330000000.0,13576000000.0,63327000000.0,42959000000.0,82933000000.0,7514891248.0,sec_company_facts,ok
MSFT,Microsoft Corp,789019,2022,143015000000.0,44281000000.0,333779000000.0,191791000000.0,118304000000.0,14224000000.0,58146000000.0,52959000000.0,96937000000.0,7457891872.0,sec_company_facts,ok
MSFT,Microsoft Corp,789019,2023,168088000000.0,61271000000.0,364840000000.0,198298000000.0,141988000000.0,13931000000.0,49781000000.0,69916000000.0,115856000000.0,7429763722.0,sec_company_facts,ok
MSFT,Microsoft Corp,789019,2024,198270000000.0,72738000000.0,411976000000.0,205753000000.0,166542000000.0,34704000000.0,47237000000.0,83383000000.0,135620000000.0,7433038381.0,sec_company_facts,ok
AMZN,Amazon COM Inc,1018724,2017,107006000000.0,596000000.0,64747000000.0,,10741000000.0,14557000000.0,8838000000.0,2233000000.0,,484107183.0,sec_company_facts,ok
AMZN,Amazon COM Inc,1018724,2018,135987000000.0,2371000000.0,83402000000.0,,13384000000.0,20522000000.0,24942000000.0,4186000000.0,,491202890.0,sec_company_facts,ok
